id,name,id,niche-url,walkscore-url
0,Battery Park,fa6153f8-5a27-4f7a-8f36-3e3417b3c129,https://www.niche.com/places-to-live/n/battery-park-city-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Battery_Park_City
1,Chelsea,b7b9f690-bb58-4b0f-ae8e-077338fa322d,https://www.niche.com/places-to-live/n/chelsea-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Chelsea
2,Chinatown,1633958e-356c-4972-89bb-ad3be45ee716,https://www.niche.com/places-to-live/n/chinatown-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Chinatown
3,Civic Center,n/a,https://www.niche.com/places-to-live/n/civic-center-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Civic_Center
4,East Harlem,1c651aca-6988-42d9-81f6-40ba0dc447e0,https://www.niche.com/places-to-live/n/east-harlem-new-york-city-ny/,https://www.walkscore.com/NY/New_York/East_Harlem
5,East Village,6e05091e-96fc-4040-86b7-4c31bf5536f0,https://www.niche.com/places-to-live/n/east-village-new-york-city-ny/,https://www.walkscore.com/NY/New_York/East_Village
6,Financial District,f2450ce8-5a21-4964-ab5f-87e840236716,https://www.niche.com/places-to-live/n/financial-district-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Financial_District
7,Flatiron,29e75387-77ab-45f0-a6dc-3a25a26e6a31,https://www.niche.com/places-to-live/n/flatiron-district-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Flatiron_District
8,Gramercy,7822716c-d18b-4895-b6a7-d308f26da0ed,https://www.niche.com/places-to-live/n/gramercy-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Gramercy_Park
9,Greenwich Village,2130e688-ed58-4d80-a76b-f0e9cfbd61eb,https://www.niche.com/places-to-live/n/greenwich-village-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Greenwich_Village
10,Harlem,6b16a71a-ae81-40c3-938e-95ed05c3b468,https://www.niche.com/places-to-live/n/harlem-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Central_Harlem
11,Hell's Kitchen,2bf43857-7ce6-4788-91f1-e497d4d47f7e,https://www.niche.com/places-to-live/n/hells-kitchen-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Hell%27s_Kitchen
12,Inwood,8488016d-737e-4d48-aaa2-9fe9202ac645,https://www.niche.com/places-to-live/n/inwood-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Inwood
13,Kips Bay,d0c071aa-695c-444c-bcde-02c5b4d5d8e5,https://www.niche.com/places-to-live/n/kips-bay-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Kips_Bay
14,Little Italy,1e6b6ab4-1ce7-4881-adf6-73ad4bc0e3b4,https://www.niche.com/places-to-live/n/little-italy-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Little_Italy
15,Lower East Side,cca4d4d0-2715-421a-a9a4-f8139c323b19,https://www.niche.com/places-to-live/n/lower-east-side-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Lower_East_Side
16,Marble Hill,e3503a17-96d5-44aa-a2f1-b61c56b83dd7,https://www.niche.com/places-to-live/n/marble-hill-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Marble_Hill
17,Midtown,1cec43e3-dcb9-433c-8fc7-39ef2bf51f8c,https://www.niche.com/places-to-live/n/midtown-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Midtown_East
18,Morningside Heights,970d8343-408b-422c-9258-1061df31dda3,https://www.niche.com/places-to-live/n/morningside-heights-new-york-city-ny/,https://www.walkscore.com/NY/New_York/West_Harlem
19,Murray Hill,ef314d7c-81c2-41af-810f-7eba208ce86f,https://www.niche.com/places-to-live/n/murray-hill-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Murray_Hill
20,NoHo,n/a,https://www.niche.com/places-to-live/n/noho-new-york-city-ny/,https://www.walkscore.com/NY/New_York/NoHo
21,Nolita,475393b1-212e-444b-8aee-e6f8d1d42bef,https://www.niche.com/places-to-live/n/nolita-new-york-city-ny/,https://www.walkscore.com/NY/New_York/NoLita
22,Roosevelt Island,819f8a32-779a-4aac-b2c5-2d632d5764d4,https://www.niche.com/places-to-live/n/roosevelt-island-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Roosevelt_Island
23,SoHo,40ee36c5-cf65-4679-964c-4f1ea2fc2241,https://www.niche.com/places-to-live/n/soho-new-york-city-ny/,https://www.walkscore.com/NY/New_York/SoHo
24,Stuyvesant Town,237f0ffb-4e97-4f09-a67e-0e2f8291a414,https://www.niche.com/places-to-live/n/stuyvesant-town-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Stuyvesant_Town_-_Peter_Cooper_Village
25,Theater District,11769434-9011-487b-8174-a80d72455c63,https://www.niche.com/places-to-live/n/theater-district-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Theater_District
26,TriBeCa,19e7b604-2b52-4659-9252-d50f96674b7b,https://www.niche.com/places-to-live/n/tribeca-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Tribeca
27,Two Bridges,edfda194-b045-491e-ad06-2e2a6b3b5328,https://www.niche.com/places-to-live/n/two-bridges-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Two_Bridges
28,Upper East Side,74af42f6-ca93-4c60-93ad-1f3d4c07b3fe,https://www.niche.com/places-to-live/n/upper-east-side-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Upper_East_Side
29,Upper West Side,acc2fb87-1171-4f00-aad4-bbd1489b3c6a,https://www.niche.com/places-to-live/n/upper-west-side-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Upper_West_Side
30,Washington Heights,9bf44164-215d-4ae1-ac53-e1515afc13f5,https://www.niche.com/places-to-live/n/washington-heights-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Washington_Heights
31,West Village,784a3d90-c8ae-451f-8d5a-e1b54d1cbcb9,https://www.niche.com/places-to-live/n/west-village-new-york-city-ny/,https://www.walkscore.com/NY/New_York/West_Village
